,UMAP1,UMAP2,UMAP3,esg_rating,ticker,dividend_yield,dividend_yield_qtl,quality_score,quality_score_qtl,carbon_intensity,carbon_intensity_qtl,aum_qtl,aum,investment_strategy,asset_class,asset_region,subsegment,grade
135,4.064342,4.723719,7.7197356,BBB,IWO,0.66,Q1,5.36,Q1,103.38,Q2,Q4,10290000000.0,standard,equity,us,small_cap,A
136,13.897085,4.9260693,-0.7392627,A,SCHV,2.65,Q3,6.56,Q3,204.85,Q3,Q4,10090000000.0,standard,equity,us,large_cap,A
137,9.339946,-4.1761184,2.2161882,A,SCHM,1.66,Q2,5.99,Q2,191.0,Q3,Q4,10070000000.0,standard,equity,us,mid_cap,A
138,9.977562,8.442828,-1.6834964,AA,SMH,1.13,Q1,8.1,Q4,61.36,Q1,Q4,9920000000.0,standard,equity,global,not_specified,
139,11.665604,5.6703386,-2.3672264,A,DGRW,2.16,Q3,7.09,Q4,66.64,Q1,Q4,9860000000.0,standard,equity,us,total_market,
140,14.73016,5.205773,1.5965208,,SUB,,Q4,,Q4,,Q4,Q4,9630000000.0,standard,fixed_income,us,government,A
141,14.228123,5.2290583,0.9102356,A,TFLO,,Q4,5.72,Q1,,Q4,Q4,9390000000.0,standard,fixed_income,us,government,A
142,16.97575,17.166725,7.3760076,BBB,USHY,,Q4,5.26,Q1,292.32,Q4,Q4,9390000000.0,standard,fixed_income,us,corporate,A
143,13.831952,4.5095024,-1.0488473,A,SPLV,2.52,Q3,6.76,Q3,533.82,Q4,Q4,9360000000.0,standard,equity,us,large_cap,A
144,19.75,15.5138445,2.4886599,A,USIG,,Q4,6.57,Q3,306.81,Q4,Q4,9330000000.0,standard,fixed_income,us,corporate,A
145,2.3249948,15.365127,3.101976,A,MINT,,Q4,6.59,Q3,214.87,Q3,Q4,9220000000.0,standard,fixed_income,us,broad_based,B
146,12.7126465,5.740107,-1.2118884,A,MTUM,1.34,Q2,6.47,Q3,99.58,Q2,Q4,9060000000.0,standard,equity,us,total_market,
147,11.908823,8.612501,-1.4292426,A,VFH,2.21,Q3,5.75,Q2,25.97,Q1,Q4,9040000000.0,standard,equity,us,not_specified,A
148,12.816195,5.6995997,-0.78733283,,DFUV,2.28,Q3,,Q4,,Q4,Q4,9000000000.0,standard,equity,us,total_market,A
149,4.1909604,5.138747,7.1524673,A,VSS,2.87,Q3,5.84,Q2,226.39,Q3,Q4,8940000000.0,standard,equity,global,small_cap,
150,13.86902,4.540136,-0.984111,A,FTCS,1.88,Q2,6.95,Q4,75.7,Q2,Q4,8890000000.0,standard,equity,us,large_cap,A
151,5.5906243,10.940792,11.896041,AA,BBJP,2.43,Q3,7.31,Q4,77.1,Q2,Q4,8880000000.0,standard,equity,asia_pacific_wo_brics,total_market,A
152,15.450136,7.5494394,5.4083447,BBB,SCHE,2.88,Q3,5.42,Q1,383.2,Q4,Q4,8720000000.0,standard,equity,emerg_markets,total_market,B
153,10.09115,8.329227,-1.6574228,AA,SOXX,1.3,Q1,7.65,Q4,63.99,Q1,Q4,8710000000.0,standard,equity,us,not_specified,
154,11.423592,10.380324,-1.715312,BBB,ARKK,,Q4,5.58,Q1,17.94,Q1,Q4,8700000000.0,standard,equity,global,not_specified,B
155,17.017181,17.410889,6.904091,BBB,JNK,,Q4,5.18,Q1,312.8,Q4,Q4,8670000000.0,standard,fixed_income,us,corporate,B
156,-6.390782,9.467045,0.1698125,BBB,DFAT,1.77,Q2,5.43,Q1,164.67,Q3,Q4,8610000000.0,standard,equity,us,extended_market,A
157,13.822599,4.90543,-0.7244488,A,OEF,1.52,Q2,6.61,Q3,84.24,Q2,Q4,8530000000.0,standard,equity,us,large_cap,A
158,14.05476,4.759353,-0.87418383,A,RDVY,2.58,Q3,6.61,Q3,143.01,Q3,Q4,8390000000.0,standard,equity,us,large_cap,A
159,3.9899762,2.2604163,11.896225,AA,EZU,2.81,Q3,7.85,Q4,123.75,Q2,Q4,8370000000.0,standard,equity,europe,total_market,B
160,6.2889276,11.811279,-7.1304083,A,QYLD,0.75,Q1,6.71,Q3,46.98,Q1,Q4,8230000000.0,standard,equity,us,large_cap,
161,4.1037545,4.7737355,7.6744175,BBB,SPSM,1.85,Q2,5.37,Q1,105.59,Q2,Q4,8230000000.0,standard,equity,us,small_cap,A
162,9.282869,-4.1169043,2.1749063,A,IJK,1.37,Q2,6.0,Q2,158.93,Q3,Q4,8200000000.0,standard,equity,us,mid_cap,A
163,13.822402,4.7871594,-0.6061946,A,VOOG,1.27,Q1,6.82,Q3,71.59,Q2,Q4,8110000000.0,standard,equity,us,large_cap,A
164,12.1585045,9.054686,-1.955659,A,VDE,3.73,Q4,6.11,Q2,410.35,Q4,Q4,8040000000.0,standard,equity,us,not_specified,A
165,2.3148403,15.314349,3.1329403,A,FTSM,,Q4,6.58,Q3,364.57,Q4,Q4,7890000000.0,standard,fixed_income,us,broad_based,B
166,8.343437,7.184327,6.763531,BBB,MCHI,1.65,Q2,4.79,Q1,245.65,Q4,Q4,7870000000.0,standard,equity,brics,total_market,B
167,19.723722,15.568693,2.4618976,A,SPSB,,Q4,6.71,Q3,168.21,Q3,Q4,7810000000.0,standard,fixed_income,us,corporate,A
168,15.463872,12.362566,0.82393426,AA,EFAV,3.09,Q4,7.38,Q4,141.02,Q3,Q4,7680000000.0,standard,equity,dev_markets,total_market,A
169,4.0106835,2.2399864,11.918471,AA,BBEU,2.98,Q3,7.91,Q4,100.13,Q2,Q4,7660000000.0,standard,equity,europe,total_market,A
170,11.906627,8.608846,-1.4350688,A,IBB,0.58,Q1,6.3,Q2,18.24,Q1,Q4,7650000000.0,standard,equity,us,not_specified,A
171,15.29702,7.5936418,5.6162486,BBB,SPEM,2.86,Q3,5.39,Q1,375.81,Q4,Q4,7500000000.0,standard,equity,emerg_markets,total_market,C
172,15.5765705,12.29136,0.7282736,AA,ESGD,2.98,Q3,8.52,Q4,85.73,Q2,Q4,7490000000.0,standard,equity,dev_markets,total_market,A
173,9.111603,10.6791315,-0.84253746,A,GUNR,4.41,Q4,6.63,Q3,335.3,Q4,Q4,7490000000.0,standard,equity,global,not_specified,D
174,14.990092,5.406149,2.573125,A,TLH,,Q4,5.72,Q1,,Q4,Q4,7420000000.0,standard,fixed_income,us,government,B
175,14.692609,5.2390223,1.6006795,A,SCHR,,Q4,5.71,Q1,1.6,Q1,Q4,7410000000.0,standard,fixed_income,us,government,A
176,14.301029,5.2376394,1.0301898,A,VGLT,,Q4,5.72,Q1,,Q4,Q4,7410000000.0,standard,fixed_income,us,government,A
177,10.110794,8.319991,-1.6589466,AA,FTEC,0.8,Q1,7.36,Q4,18.32,Q1,Q4,7380000000.0,standard,equity,us,not_specified,
178,9.23063,-4.0980587,2.1423485,A,IJJ,2.06,Q3,5.77,Q2,148.0,Q3,Q4,7380000000.0,standard,equity,us,mid_cap,A
179,11.941512,8.575068,-1.4376647,A,VDC,2.42,Q3,6.97,Q4,50.23,Q1,Q4,7290000000.0,standard,equity,us,not_specified,A
